epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18477.9,0.45106,0.4301,0.86585,0.96377,0.52645,0.80792,0.71363,0.59931,2.38295,0.89474,0.0700007,0.00333325,0.00333325
2,39734.1,0.37266,0.33471,0.84335,0,0,0,0,3.85286,7.53907,3.29936,0.0400003,0.00666618,0.00666618
